iter	Passed	Remaining
0	231	217953
1	294	138378
2	360	112643
3	420	98426
4	477	89466
5	539	84017
6	592	79058
7	648	75620
8	692	71689
9	741	68996
10	800	67666
11	850	65864
12	898	64123
13	941	62324
14	980	60539
15	1021	59056
16	1061	57670
17	1106	56758
18	1148	55720
19	1195	55035
20	1239	54316
21	1288	53810
22	1336	53363
23	1378	52684
24	1426	52257
25	1471	51770
26	1512	51187
27	1556	50751
28	1603	50435
29	1648	50062
30	1693	49705
31	1739	49399
32	1784	49099
33	1834	48950
34	1882	48726
35	1925	48404
36	1971	48166
37	2017	47946
38	2058	47620
39	2104	47400
40	2147	47149
41	2191	46900
42	2238	46740
43	2282	46522
44	2327	46343
45	2369	46099
46	2414	45924
47	2456	45705
48	2501	45540
49	2544	45337
50	2590	45199
51	2636	45077
52	2680	44914
53	2722	44716
54	2762	44506
55	2808	44377
56	2852	44245
57	2901	44166
58	2949	44093
59	2992	43942
60	3035	43791
61	3080	43670
